;ФУНКЦИОНАЛНО ПРОГРАМИРАНЕ;доц. Т. ТРИФОНОВ;"В ЕЛЕКТРОННА
СРЕДА";П;09.02.;Мудъл;09.00.
;кат. Компютърна информатика;;;У;09.02.;Мудъл;13.00.
Правилата за провеждане на присъствени изпити са същите, както и правилата за провеждане на присъствени занятия, съгласно заповед РД-29-40/ 05.11.2021 г.;;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
"КОМПЮТЪРНИ НАУКИ
III курс, 1 поток";ЛОГИЧЕСКО ПРОГРАМИРАНЕ;проф. Т. ТИНЧЕВ;"ПРИСЪСТВЕНО В
ЗАЛА";П;25.01.;ФХФ 130, ФХФ 210;08.00.
;;;;У;29.01.;ФХФ 130, ФХФ 210;08,00
;кат. Математическа логика и приложенията й;;събеседване -31.01.;;;325;10.00.
;МРЕЖОВО ПРОГРАМИРАНЕ;доц. С. РУСЕВА;"В ЕЛЕКТРОННА
СРЕДА";П;15.02.;Мудъл;10,00
;"кат. Изчислителни системи(временно присъединена към
кат.МРМ)";;;У;16.02.;Мудъл;10.00.
;СИСТЕМНО ПРОГРАМИРАНЕ;гл. ас. Г. ГЕОРГИЕВ;"ПРИСЪСТВЕНО В
ЗАЛА";П;23.01.;ФХФ 210;09.00.
;кат. Математическа логика и приложенията й;;;У;13.02.;ФХФ 210;09.00.
;СОЦИАЛНО-ПРАВНИ АСПЕКТИ НА ИТ;гл.ас. К. ГЕОРГИЕВА;"В ЕЛЕКТРОННА
СРЕДА";03.02.;;Мудъл;10.00.
;кат. Софтуерни технологии;;;;;;
;ЧИСЛЕН АНАЛИЗ;проф. Г. НИКОЛОВ;ПРИСЪСТВЕНО В ЗАЛА;П;"08.02.-
четни ф.№";ФХФ 210;09.30.
;;;;П;"09.02.-
нечетн и ф.№";ФХФ 210;09.30.
;;;;У;"08.02.-
четни ф.№";каб. 520;16.00.
;кат. Числени методи и алгоритми;;;У;"09.02.-
нечетн и ф.№";каб.520;16.00.
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
;ЛОГИЧЕСКО ПРОГРАМИРАНЕ;гл. ас. А. ЗИНОВИЕВ;"ПРИСЪСТВЕНО В
ЗАЛА";П;25.01.;ФХФ 130, ФХФ 210;08.00.
;;;;У;29.01.;ФХФ 130, ФХФ 210;08,00
;кат. Математическа логика и приложенията й;;събеседване -31.01.;;;325;10.00.
;МРЕЖОВО ПРОГРАМИРАНЕ;доц. С. РУСЕВА;"В ЕЛЕКТРОННА
СРЕДА";П;15.02.;Мудъл;10,00
;кат. Изчислителни системи(временно присъединена към кат.МРМ);;;У;16.02.;Мудъл;10.00.
"КОМПЮТЪРНИ НАУКИ
III курс, 2 поток";СИСТЕМНО ПРОГРАМИРАНЕ;гл. ас. Г. ГЕОРГИЕВ;ПРИСЪСТВЕНО В ЗАЛА;П;23.01.;ФХФ 210;09.00.
;кат. Математическа логика и приложенията й;;;У;13.02.;ФХФ 210;09.00.
;СОЦИАЛНО-ПРАВНИ АСПЕКТИ НА ИТ;гл.ас. К. ГЕОРГИЕВА;"В ЕЛЕКТРОННА
СРЕДА";03.02.;;Мудъл;10.00.
;кат. Софтуерни технологии;;;;;;
;ЧИСЛЕН АНАЛИЗ;доц. Н. НАЙДЕНОВ;"В ЕЛЕКТРОННА
СРЕДА";П;08.02.;Мудъл;10.00.
;кат. Числени методи и алгоритми;;;У;09.02.;Мудъл;10.00.
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
"КОМПЮТЪРНИ НАУКИ
IV курс, 1 поток";WEB ТЕХНОЛОГИИ;доц. М. ПЕТРОВ;ПРИСЪСТВЕНО В ЗАЛА;П;25.01.;321;09,30
;кат. Софтуерни технологии;;;У;14.02.;321;09.30.
